Name,URL,Author,Price,Number of ratings,Average Rating
Last Week Tonight with John Oliver Presents a Day in the Life of Marlon Bundo,https://www.amazon.com/Tonight-Oliver-Presents-Marlon-Bundo/dp/145217380X?_encoding=UTF8&psc=1,Jill Twiss,$12.02,4814,4.9 out of 5 stars
12 Rules for Life: An Antidote to Chaos,https://www.amazon.com/12-Rules-Life-Antidote-Chaos/dp/0345816021?_encoding=UTF8&psc=1,Jordan B. Peterson,$15.57,1587,4.7 out of 5 stars
Llama Llama Easter Egg,https://www.amazon.com/Llama-Easter-Egg-Anna-Dewdney/dp/0451469828?_encoding=UTF8&psc=1,Anna Dewdney,$5.99,215,4.5 out of 5 stars
The Don't Laugh Challenge - Easter Edition: Easter Edition - Don't Laugh Challenge: Easter Joke Book for Kids with Knock-Knock Jokes and Riddles Included,https://www.amazon.com/Dont-Laugh-Challenge-Knock-Knock-Included/dp/1945006803?_encoding=UTF8&psc=1,Don't Laugh Joke,$8.03,11,5.0 out of 5 stars
Easter Eggstravaganza Mad Libs,https://www.amazon.com/Easter-Eggstravaganza-Libs-Roger-Price/dp/0843172525?_encoding=UTF8&psc=1,Roger Price,$4.99,135,4.6 out of 5 stars
Secret Empires: How the American Political Class Hides Corruption and Enriches Family and Friends,https://www.amazon.com/Secret-Empires-American-Political-Corruption/dp/0062569368?_encoding=UTF8&psc=1,Peter Schweizer,$17.39,32,4.5 out of 5 stars
God Gave Us Easter,https://www.amazon.com/Gave-Easter-Lisa-Tawn-Bergren/dp/0307730727?_encoding=UTF8&psc=1,Lisa Tawn Bergren,$8.54,254,4.6 out of 5 stars
"A Higher Loyalty: Truth, Lies, and Leadership",https://www.amazon.com/Higher-Loyalty-Truth-Lies-Leadership/dp/1250192455?_encoding=UTF8&psc=1,James Comey,$15.99,73,3.7 out of 5 stars
Little Blue Truck's Springtime,https://www.amazon.com/Little-Trucks-Springtime-Alice-Schertle/dp/0544938097?_encoding=UTF8&psc=1,Alice Schertle,$9.32,73,3.7 out of 5 stars
Pete the Cat: Big Easter Adventure,https://www.amazon.com/Pete-Cat-Big-Easter-Adventure/dp/006219867X?_encoding=UTF8&psc=1,James Dean,$7.18,213,4.6 out of 5 stars
Marlon Bundo's Day in the Life of the Vice President,https://www.amazon.com/Marlon-Bundos-Life-Vice-President/dp/1621577767?_encoding=UTF8&psc=1,Charlotte Pence,$12.04,255,4.5 out of 5 stars
Ready Player One: A Novel,https://www.amazon.com/Ready-Player-One-Ernest-Cline/dp/0307887448?_encoding=UTF8&psc=1,Ernest Cline,$8.79,16415,4.6 out of 5 stars
The Berenstain Bears and the Easter Story: Stickers Included! (Berenstain Bears/Living Lights),https://www.amazon.com/Berenstain-Bears-Easter-Story-Stickers/dp/0310720877?_encoding=UTF8&psc=1,Mike Berenstain,$4.01,344,4.6 out of 5 stars
Player's Handbook (Dungeons & Dragons),https://www.amazon.com/Players-Handbook-Dungeons-Dragons-Wizards/dp/0786965606?_encoding=UTF8&psc=1,Wizards RPG Team,$27.27,2506,4.6 out of 5 stars
The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,https://www.amazon.com/Subtle-Art-Not-Giving-Counterintuitive/dp/0062457713?_encoding=UTF8&psc=1,Mark Manson,$14.99,3272,4.4 out of 5 stars
"Happy Easter, Little Critter (Little Critter) (Look-Look)",https://www.amazon.com/Happy-Easter-Little-Critter-Look-Look/dp/0307117235?_encoding=UTF8&psc=1,Mercer Mayer,$3.78,105,4.5 out of 5 stars
A Wrinkle in Time (Time Quintet),https://www.amazon.com/Wrinkle-Time-Quintet/dp/0312367546?_encoding=UTF8&psc=1,Madeleine L'Engle,$6.02,3004,4.5 out of 5 stars
Food: What the Heck Should I Eat?,https://www.amazon.com/Food-What-Heck-Should-Eat/dp/0316338869?_encoding=UTF8&psc=1,Mark Hyman M.D.,$16.80,180,4.6 out of 5 stars
Russian Roulette: The Inside Story of Putin's War on America and the Election of Donald Trump,https://www.amazon.com/Russian-Roulette-Inside-America-Election/dp/1538728753?_encoding=UTF8&psc=1,Michael Isikoff,$18.00,158,4.6 out of 5 stars
Little Fires Everywhere,https://www.amazon.com/Little-Fires-Everywhere-Celeste-Ng/dp/0735224293?_encoding=UTF8&psc=1,Celeste Ng,$15.28,2081,4.4 out of 5 stars
Last Week Tonight with John Oliver Presents a Day in the Life of Marlon Bundo,https://www.amazon.com/Tonight-Oliver-Presents-Marlon-Bundo/dp/145217380X?_encoding=UTF8&psc=1,Jill Twiss,$12.02,4814,4.9 out of 5 stars
12 Rules for Life: An Antidote to Chaos,https://www.amazon.com/12-Rules-Life-Antidote-Chaos/dp/0345816021?_encoding=UTF8&psc=1,Jordan B. Peterson,$15.57,1587,4.7 out of 5 stars
Llama Llama Easter Egg,https://www.amazon.com/Llama-Easter-Egg-Anna-Dewdney/dp/0451469828?_encoding=UTF8&psc=1,Anna Dewdney,$5.99,215,4.5 out of 5 stars
The Don't Laugh Challenge - Easter Edition: Easter Edition - Don't Laugh Challenge: Easter Joke Book for Kids with Knock-Knock Jokes and Riddles Included,https://www.amazon.com/Dont-Laugh-Challenge-Knock-Knock-Included/dp/1945006803?_encoding=UTF8&psc=1,Don't Laugh Joke,$8.03,11,5.0 out of 5 stars
Easter Eggstravaganza Mad Libs,https://www.amazon.com/Easter-Eggstravaganza-Libs-Roger-Price/dp/0843172525?_encoding=UTF8&psc=1,Roger Price,$4.99,135,4.6 out of 5 stars
Secret Empires: How the American Political Class Hides Corruption and Enriches Family and Friends,https://www.amazon.com/Secret-Empires-American-Political-Corruption/dp/0062569368?_encoding=UTF8&psc=1,Peter Schweizer,$17.39,32,4.5 out of 5 stars
God Gave Us Easter,https://www.amazon.com/Gave-Easter-Lisa-Tawn-Bergren/dp/0307730727?_encoding=UTF8&psc=1,Lisa Tawn Bergren,$8.54,254,4.6 out of 5 stars
"A Higher Loyalty: Truth, Lies, and Leadership",https://www.amazon.com/Higher-Loyalty-Truth-Lies-Leadership/dp/1250192455?_encoding=UTF8&psc=1,James Comey,$15.99,73,3.7 out of 5 stars
Little Blue Truck's Springtime,https://www.amazon.com/Little-Trucks-Springtime-Alice-Schertle/dp/0544938097?_encoding=UTF8&psc=1,Alice Schertle,$9.32,73,3.7 out of 5 stars
Pete the Cat: Big Easter Adventure,https://www.amazon.com/Pete-Cat-Big-Easter-Adventure/dp/006219867X?_encoding=UTF8&psc=1,James Dean,$7.18,213,4.6 out of 5 stars
Marlon Bundo's Day in the Life of the Vice President,https://www.amazon.com/Marlon-Bundos-Life-Vice-President/dp/1621577767?_encoding=UTF8&psc=1,Charlotte Pence,$12.04,255,4.5 out of 5 stars
Ready Player One: A Novel,https://www.amazon.com/Ready-Player-One-Ernest-Cline/dp/0307887448?_encoding=UTF8&psc=1,Ernest Cline,$8.79,16415,4.6 out of 5 stars
The Berenstain Bears and the Easter Story: Stickers Included! (Berenstain Bears/Living Lights),https://www.amazon.com/Berenstain-Bears-Easter-Story-Stickers/dp/0310720877?_encoding=UTF8&psc=1,Mike Berenstain,$4.01,344,4.6 out of 5 stars
Player's Handbook (Dungeons & Dragons),https://www.amazon.com/Players-Handbook-Dungeons-Dragons-Wizards/dp/0786965606?_encoding=UTF8&psc=1,Wizards RPG Team,$27.27,2506,4.6 out of 5 stars
The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,https://www.amazon.com/Subtle-Art-Not-Giving-Counterintuitive/dp/0062457713?_encoding=UTF8&psc=1,Mark Manson,$14.99,3272,4.4 out of 5 stars
"Happy Easter, Little Critter (Little Critter) (Look-Look)",https://www.amazon.com/Happy-Easter-Little-Critter-Look-Look/dp/0307117235?_encoding=UTF8&psc=1,Mercer Mayer,$3.78,105,4.5 out of 5 stars
A Wrinkle in Time (Time Quintet),https://www.amazon.com/Wrinkle-Time-Quintet/dp/0312367546?_encoding=UTF8&psc=1,Madeleine L'Engle,$6.02,3004,4.5 out of 5 stars
Food: What the Heck Should I Eat?,https://www.amazon.com/Food-What-Heck-Should-Eat/dp/0316338869?_encoding=UTF8&psc=1,Mark Hyman M.D.,$16.80,180,4.6 out of 5 stars
Russian Roulette: The Inside Story of Putin's War on America and the Election of Donald Trump,https://www.amazon.com/Russian-Roulette-Inside-America-Election/dp/1538728753?_encoding=UTF8&psc=1,Michael Isikoff,$18.00,158,4.6 out of 5 stars
Little Fires Everywhere,https://www.amazon.com/Little-Fires-Everywhere-Celeste-Ng/dp/0735224293?_encoding=UTF8&psc=1,Celeste Ng,$15.28,2081,4.4 out of 5 stars
Last Week Tonight with John Oliver Presents a Day in the Life of Marlon Bundo,https://www.amazon.com/Tonight-Oliver-Presents-Marlon-Bundo/dp/145217380X?_encoding=UTF8&psc=1,Jill Twiss,$12.02,4814,4.9 out of 5 stars
12 Rules for Life: An Antidote to Chaos,https://www.amazon.com/12-Rules-Life-Antidote-Chaos/dp/0345816021?_encoding=UTF8&psc=1,Jordan B. Peterson,$15.57,1587,4.7 out of 5 stars
Llama Llama Easter Egg,https://www.amazon.com/Llama-Easter-Egg-Anna-Dewdney/dp/0451469828?_encoding=UTF8&psc=1,Anna Dewdney,$5.99,215,4.5 out of 5 stars
The Don't Laugh Challenge - Easter Edition: Easter Edition - Don't Laugh Challenge: Easter Joke Book for Kids with Knock-Knock Jokes and Riddles Included,https://www.amazon.com/Dont-Laugh-Challenge-Knock-Knock-Included/dp/1945006803?_encoding=UTF8&psc=1,Don't Laugh Joke,$8.03,11,5.0 out of 5 stars
Easter Eggstravaganza Mad Libs,https://www.amazon.com/Easter-Eggstravaganza-Libs-Roger-Price/dp/0843172525?_encoding=UTF8&psc=1,Roger Price,$4.99,135,4.6 out of 5 stars
Secret Empires: How the American Political Class Hides Corruption and Enriches Family and Friends,https://www.amazon.com/Secret-Empires-American-Political-Corruption/dp/0062569368?_encoding=UTF8&psc=1,Peter Schweizer,$17.39,32,4.5 out of 5 stars
